problem,uuid,problem_type,question_type,source,answer
"Given the following functions: ①$y=-3x+2$; ②$y=\frac{3}{x}$; ③$y=2x^{2}$; ④$y=-5\left(x-1\right)^{2}$, the function that satisfies ""when $x \gt 1$, the function value $y$ increases as the independent variable $x$ increases"" is ( )

A: ①

B: ②

C: ③

D: ④",84fd5ea6-09d4-503f-bc5f-5c1a20a2ed86,Algebra,MCQ,cn_k12,C
"Define a function $y=f(x+2)$ whose domain and range are both $\mathbb{R}$, and it is an odd function. Also, the function $y=f(x)$ has an inverse function. The graph of the function $y=g(x)$ is symmetric to the graph of $y=f(x)$ about the line $y=x$. Then, $g(x)+g(-x)=$ ( )
A: $-4$
B: $0$
C: $2$
D: $4$",792ada06-4e7c-5758-af59-2fc2a1613929,Algebra,MCQ,cn_k12,D
"Given unit vectors $\overrightarrow{a}$ and $\overrightarrow{b}$ satisfy $|\overrightarrow{a}+\overrightarrow{b}|=|\overrightarrow{a}-\overrightarrow{b}|$, then the angle between $\overrightarrow{a}$ and $\overrightarrow{b}-\overrightarrow{a}$ is $({\ })$

A: $\dfrac{\pi}{6}$

B: $\dfrac{\pi}{3}$

C: $\dfrac{\pi}{4}$

D: $\dfrac{3\pi}{4}$",034b3ed9-4e8b-5daf-8e5f-8973815e223f,Algebra,MCQ,cn_k12,D
"For real numbers $a$ and $b$, the operation ""$*$"" is defined as follows: $a*b=a^{2}-ab$. For example, $3*2=3^{2}-3\times 2=3$. If the equation $\left(x+1\right)*3=-2$ has roots, the situation of the roots is:

A: No real roots

B: Only one real root

C: Two equal real roots

D: Two distinct real roots",309865ce-1c14-58bb-b258-021baf9af699,Algebra,MCQ,cn_k12,D
"If the random variable $X$ follows a normal distribution $N(\mu, \sigma^2)$ ($\sigma > 0$), then the following conclusions can be drawn:
- $P(|X-\mu| < \sigma) = 0.6826$
- $P(|X-\mu| < 2\sigma) = 0.9544$
- $P(|X-\mu| < 3\sigma) = 0.9974$

In class 1 of the senior year, there are 40 students. The scores of a math test follow a normal distribution, with an average score of 120 and a variance of 100. Theoretically, the number of students scoring above 130 is approximately:
A: 19
B: 12
C: 6
D: 5",b52c98d0-b339-5f7b-bc3c-9815c91038f8,Algebra,MCQ,cn_k12,C
"Given the function $f\left( x \right)=\log_{\frac{1}{e}}\left( x^{2}+\frac{1}{e} \right)-\left| \frac{x}{e} \right|$, then the range of $x$ that makes $f\left( x+1 \right) < f\left( 2x-1 \right)$ is $(\ )$
A: $(0,2)$
B: $(-\infty ,0)$
C: $(-\infty ,0) \cup (2,+\infty)$
D: $(2,+\infty)$",69ab742e-c516-5fec-bc17-aeedbefdc004,Algebra,MCQ,cn_k12,A
"Given a sequence $\{a_n\}$ whose sum of the first $n$ terms is $S_n$, and $S_n = a^n - 2$ (where $a$ is a constant and $a \neq 0$), then the sequence $\{a_n\}$ ( )
A: is an arithmetic sequence
B: is a geometric sequence
C: forms a geometric sequence from the second term onwards
D: forms an arithmetic sequence or a geometric sequence from the second term onwards",d9aa0259-3434-50a0-92f6-d64344c42cdf,Algebra,MCQ,cn_k12,D
"A person contracted the flu, and after two rounds of infection, a total of 36 people had the flu. If on average each person infected $x$ others in each round of infection, then the equation is ()

A: $x+\left(1+x\right)=36$

B: $2\left(1+x\right)=36$

C: $1+x+x\left(1+x\right)=36$

D: $1+x+x^{2}=36$",709709c3-7d0f-57cf-afb0-8a268b293d87,Algebra,MCQ,cn_k12,C
"If $z_1$ and $z_2$ belong to $\mathbb{R}$, then the product of their moduli is the modulus of their product: $|z_1 \cdot z_2| = |z_1| \cdot |z_2|$. Based on this, a student concluded that if $z_1$ and $z_2$ belong to $\mathbb{C}$, then $|z_1 \cdot z_2| = |z_1| \cdot |z_2|$. The student's reasoning is:
A. Deductive reasoning
B. Logical reasoning
C. Inductive reasoning
D. Analogical reasoning",63836eeb-b34f-55b3-af2a-ea9fd2eac904,Algebra,MCQ,cn_k12,D
"Given the function f(x) = $$\begin{cases} \overset{2^{x}-1,x\leq 0}{log_{3}x+1,x>0}\end{cases}$$, find f(f($$\frac { \sqrt {3}}{9}$$)) = (   )

A: $$\frac { \sqrt {2}}{2}$$ - 1
B: $$\sqrt {2}$$ - 1
C: $$\sqrt[3]{2}$$ - 1
D: $$\frac { \sqrt {2}}{4}$$ - 1",51040c34-c993-57e7-b475-059ee0a3980d,Algebra,MCQ,cn_k12,A
"The range of the function $y=x^2+1$ is ( )
A: $[1, +\infty)$
B: $(0, 1]$
C: $(-\infty, 1]$
D: $(0, +\infty)$",09e9a69c-daf0-5708-b1da-2409f9bdd10d,Algebra,MCQ,cn_k12,A
"Given vectors $\overrightarrow{a} = (2, -1, 2)$, $\overrightarrow{b} = (-1, 3, -3)$, and $\overrightarrow{c} = (13, 6, \lambda)$. If vectors $\overrightarrow{a}$, $\overrightarrow{b}$, and $\overrightarrow{c}$ are coplanar, find the value of $\lambda$.
A: 2
B: 3
C: 4
D: 6",93f01395-399f-5a03-b0e4-84961ca50767,Algebra,MCQ,cn_k12,B
"Given $2\sin 2\alpha =1+\cos 2\alpha$, then $\tan 2\alpha =$ (    )
A: $-\dfrac{4}{3}$
B: $\dfrac{4}{3}$
C: $-\dfrac{4}{3}$ or $0$
D: $\dfrac{4}{3}$ or $0$",328741d0-ab4b-5ba7-9e49-0cff28ccb14b,Algebra,MCQ,cn_k12,D
"Given the function $f(x)=\begin{cases}
-x^{2}+2x- \frac{5}{4}, & x\leqslant 1 \\
{\log }_{ \frac{1}{3}}x- \frac{1}{4}, & x > 1
\end{cases}, g(x)=|A-2|\cdot\sin x (x\in\mathbb{R})$, if for any $x_{1}$, $x_{2}\in\mathbb{R}$, it holds that $f(x_{1})\leqslant g(x_{2})$, then the range of the real number $A$ is

A: $(-\infty, \frac{9}{4} ]$

B: $[ \frac{7}{4} , \frac{9}{4} ]$

C: $[ \frac{7}{4} ,+\infty)$

D: $(-\infty, \frac{7}{4} ]\cup[ \frac{9}{4} ,+\infty)$",405efd6f-5295-5dd6-a773-ac2b1053762b,Algebra,MCQ,cn_k12,B
"If $2\sin \alpha + \cos \alpha = -\sqrt{5}$, then $\tan \alpha =$ ?
A: $\frac{1}{2}$
B: $2$
C: $-\frac{1}{2}$
D: $-2$",a0d4554c-9b26-56b4-86eb-34af32ada618,Algebra,MCQ,cn_k12,B
"Given the proposition: Let $a$ and $b$ be real numbers. If $a+b=1$, then $ab \leq \frac{1}{4}$. Among its converse, inverse, and contrapositive propositions, the number of true propositions is (　　)
A: 3
B: 2
C: 1
D: 0",aeb850ba-c18c-5a98-b319-4d372c5110cd,Algebra,MCQ,cn_k12,C
"Given a complex number $z$ satisfies $(z+2i)(3+i)=7-i$, then the point corresponding to the complex number $z$ in the complex plane is located in (　　)

A: The first quadrant  
B: The second quadrant  
C: The third quadrant  
D: The fourth quadrant",4e7dfae0-c57c-5ed6-a40b-9666f18a4f9a,Algebra,MCQ,cn_k12,D
"Given vectors $\overrightarrow{a}=(3,-2,1)$ and $\overrightarrow{b}=(-1,1,4)$, what is $\overrightarrow{a}+\overrightarrow{b}$?

A: $(2,-1,3)$

B: $(-2,-1,5)$

C: $(-2,-3,3)$

D: $(2,-1,5)$",0f068c20-cb10-59da-b5a2-18c3e4d640fc,Algebra,MCQ,cn_k12,D
"If $\tan \theta= \frac {1}{3}$, then $\cos 2\theta=$　　()
A: $- \frac {4}{5}$
B: $- \frac {1}{5}$
C: $\frac {1}{5}$
D: $\frac {4}{5}$",26b6d919-4c22-511a-9a69-e36ef5405960,Algebra,MCQ,cn_k12,D
"The graph of the quadratic function $y=ax^{2}-4ax+c\left(a \gt 0\right)$ passes through four points $A(-2$,$y_{1})$, $B(0$,$y_{2})$, $C(3$,$y_{3})$, $D(5$,$y_{4})$. Which of the following statements must be correct?

A: If $y_{1}y_{2} \gt 0$, then $y_{3}y_{4} \gt 0$

B: If $y_{1}y_{4} \gt 0$, then $y_{2}y_{3} \gt 0$

C: If $y_{2}y_{4} \lt 0$, then $y_{1}y_{3} \lt 0$

D: If $y_{3}y_{4} \lt 0$, then $y_{1}y_{2} \lt 0$",ded34ae4-2486-53d6-a490-c858368f5c0b,Algebra,MCQ,cn_k12,C
"Among the following four intervals, the function $f(x) = x^2 - x + 1$ is not a decreasing function on (　　)
A: $(-\infty, -2)$
B: $(-2, -1)$
C: $(-1, 1)$
D: $(-\infty, 0)$",e2db4820-1c9e-5879-a2ee-70a81670f359,Algebra,MCQ,cn_k12,C
"Given that the line $x+\left(m^{2}-m\right)y=4m-1$ is perpendicular to the line $2x-y-5=0$, the value of $m$ is ( ).

A: $-1$

B: $2$

C: $-1$ or $2$

D: $1$",7a021751-d60a-5bbd-a6f6-eda853785ded,Algebra,MCQ,cn_k12,C
"Given the function $f(x)=-x^{2}+4x-3$, if a real number $x_{0}$ is randomly chosen from the interval $[2,6]$, the probability that $f(x_{0}) \geqslant 0$ is ($\quad$).

A: $\frac {1}{4}$
B: $\frac {1}{3}$
C: $\frac {1}{2}$
D: $\frac {3}{4}$",9c2dd86e-6e4e-5959-863f-4c2b5ee40360,Algebra,MCQ,cn_k12,A
"Given the set $\{(x, y) | x + y - 2 = 0, \text{ and } x - 2y + 4 = 0\}$ is a subset of $\{(x, y) | y = 3x + b\}$, then $b =$ （ ）

A: 1  
B: -1  
C: 2  
D: -2",e884cef2-f06e-5f79-b2ff-ee62e8662678,Algebra,MCQ,cn_k12,C
"Given sets $A=\{x\in \mathbb{N} | x^{2}-x-2\leq 0\}$ and $B=\{x | -1\leq x < 2\}$, then $A\cap B$ is

A: $\{x | -1\leq x < 2\}$

B: $\{x | 0\leq x < 2\}$

C: $\{0,1\}$

D: $\{-1,0,1,2\}$",0211153c-7532-5b7a-b204-cb995c3e4279,Algebra,MCQ,cn_k12,C
"Among the following functions, which is both an even function and monotonically increasing in the interval $(0,+\infty)$?
A: $y={{(\dfrac{1}{2})}^{x}}$
B: $y=-{{x}^{2}}$
C: $y={{\log }_{2}}x$
D: $y=|x|+1$",b28b3ca5-35ee-5be4-8d48-91a0cecf7816,Algebra,MCQ,cn_k12,D
"Given $f(x)$ is an even function on $\mathbb{R}$, and for any $x \in \mathbb{R}$, it holds that $f(x+6) = f(x) + f(3)$, and $f(1) = 2$. The value of $f(2015)$ is (　　)

A: 0  
B: -2  
C: 2  
D: 2015",b8917be4-c35a-5c54-8154-a9aeffc3ddef,Algebra,MCQ,cn_k12,C
"Given the function $f(x)=\sin(2x-\frac{π}{3})$, which of the following conclusions is correct?

A: The period of the function $f\left(x+\pi \right)$ is $\frac{π}{2}$.

B: The zero point of the function $f\left(x+\pi \right)$ is $\frac{π}{6}$.

C: The graph of $y=f\left(x\right)$ can be obtained by shifting the graph of $y=\sin 2x$ to the right by $\frac{π}{3}$ units.

D: The graph of $y=f\left(x\right)$ is symmetric about the line $x=\frac{3π}{2}$.",17ba41b8-a003-5a6c-9ccb-9f9959785173,Algebra,MCQ,cn_k12,B
"Given unit vectors $\overrightarrow{a}$ and $\overrightarrow{b}$ satisfy $|\overrightarrow{a}-2\overrightarrow{b}|=\sqrt{7}$, then the projection vector of $\overrightarrow{a}$ onto $\overrightarrow{b}$ is ( )

A: $\frac{1}{2}\overrightarrow{a}$

B: $-\frac{1}{2}\overrightarrow{a}$

C: $\frac{1}{2}\overrightarrow{b}$

D: $-\frac{1}{2}\overrightarrow{b}$",0d284bf8-d5e3-595b-b506-410629c5e50b,Algebra,MCQ,cn_k12,D
"Given $i$ is the imaginary unit, if $(1-i)(a+i) = 3-bi$ ($a, b \in \mathbb{R}$), then $a+b$ equals to (　　)

A: 3  
B: 1  
C: 0  
D: -2",5dadf306-9b76-5a33-84a1-68faaa18d5b2,Algebra,MCQ,cn_k12,A
"Find the asymptote equations for the hyperbola $\dfrac {x^{2}}{6}- \dfrac {y^{2}}{3}=1$.
A: $y=± \dfrac {1}{2}x$
B: $y=±2x$
C: $y=± \dfrac { \sqrt {2}}{2}x$
D: $y=± \sqrt {2}x$",91df4ce7-4d61-5999-9a79-eb3f7d7515a3,Algebra,MCQ,cn_k12,C
"Express the equation $x^{2}-8x+3=0$ in the form of $\left(x-m\right)^{2}=n$, then the value of $m+n$ is ( )

A: $23$

B: $17$

C: $15$

D: $9$",3e4fb5ca-95c9-56de-8924-cc18b4e493f4,Algebra,MCQ,cn_k12,B
"Convert the quadratic equation $\left(x+3\right)^{2}=x\left(3x-1\right)$ into general form, which of the following is correct?

A: $2x^{2}-7x-9=0$

B: $2x^{2}-5x-9=0$

C: $4x^{2}+7x+9=0$

D: $2x^{2}-6x-10=0$",9c171376-72a7-5165-b953-83a045a75439,Algebra,MCQ,cn_k12,A
"Given $\frac {\sin \alpha}{\sin \alpha+\cos \alpha}= \frac {1}{2}$, and vectors $\overrightarrow{AB}=(\tan \alpha,1)$, $\overrightarrow{BC}=(\tan \alpha,2)$, then $\overrightarrow{AC}$ equals to (　　).
A: $(-2,3)$
B: $(1,2)$
C: $(4,3)$
D: $(2,3)$",1ef3fe76-c132-50cf-b471-4d7da45e921f,Algebra,MCQ,cn_k12,D
"In a math competition, the number of correct answers given by five students are $7$, $5$, $3$, $5$, $10$ respectively. Which of the following statements about this data is correct?

A: The variance is $3.6$

B: The mode is $10$

C: The median is $3$

D: The mean is $6$",0c1c3bbf-5e18-5a06-96f7-a990e3df68c8,Algebra,MCQ,cn_k12,D
